segment_id,field,candidate,source_start_ms,source_end_ms,source_time_range,source_utterance_start,source_utterance_end,source_quote,supported,risk_codes,term_overlap,transcript_sha256
creator-claims-01-s01,hook,原话证据：创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直…,0,27000,00:00–00:27,0,2,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。,True,,0.982143,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s01,title,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数…,0,27000,00:00–00:27,0,2,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。,True,,0.970588,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s01,caption,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。（来源 00:00–00:27）,0,27000,00:00–00:27,0,2,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。,True,,0.972973,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s01,seo_keywords,不是 · 个数 · 原文,0,27000,00:00–00:27,0,2,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。,True,,1.0,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s01,thumbnail_brief,画面重点：创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不…,0,27000,00:00–00:27,0,2,创作者写标题时，最难的不是生成更多句子，而是确认每个数字来自哪里。 我们会给每个数字保留原文时间戳，找不到来源就标成待复核。 时间戳让编辑能直接跳回原文，而不是相信一段没有证据的摘要。,True,,0.968254,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s02,hook,原话证据：发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,27000,45000,00:27–00:45,3,4,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,True,,1.0,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s02,title,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可…,27000,45000,00:27–00:45,3,4,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,True,,0.972222,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s02,caption,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。（来源 00:27–00:45）,27000,45000,00:27–00:45,3,4,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,True,,0.94,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s02,seo_keywords,发布 · 不自 · 不自动替编辑做发布决定,27000,45000,00:27–00:45,3,4,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,True,,1.0,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
creator-claims-01-s02,thumbnail_brief,画面重点：发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,27000,45000,00:27–00:45,3,4,发布前还要检查标题、字幕和简介是否加入了原文没有的结论。 这个流程的目标是让复核可见，不自动替编辑做发布决定。,True,,0.959184,60f20e821b10c00f2f3d151ce7737af22d7ed78d65d834ac66c9add7ff0085f5
